Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
1.4,159.90479,0.01625,0.24381,15.15053,3,2
1.5,170.45723,0.01738,0.26075,16.15035,3,2
1.6,180.44696,0.01849,0.27737,17.09685,3,2
1.7,190.28909,0.0196,0.29394,18.02936,3,2
1.8,199.80185,0.0207,0.3105,18.93067,3,2
1.9,209.29692,0.02182,0.32737,19.8303,3,2
2,218.64954,0.02294,0.34406,20.71643,3,2
2.1,207.80748,0.02404,0.36056,19.68918,3,2
2.2,218.57649,0.02516,0.37737,20.70951,3,2
2.3,228.75374,0.02627,0.39406,21.67378,3,2
2.4,237.86754,0.02738,0.41069,22.53728,3,2
2.5,247.18779,0.02848,0.42719,23.42035,3,2
2.6,256.17499,0.0296,0.44394,24.27187,3,2
2.7,265.16367,0.03072,0.46075,25.12352,3,2
2.8,273.59033,0.03182,0.47737,25.92192,3,2
2.9,282.28824,0.03293,0.494,26.74602,3,2
3,290.68036,0.03405,0.51075,27.54115,3,2
3.1,298.80615,0.03516,0.52744,28.31105,3,2
3.2,306.90448,0.03627,0.544,29.07834,3,2
3.3,314.62796,0.03737,0.5605,29.81012,3,2
3.4,322.59341,0.0385,0.57744,30.56483,3,2
3.5,330.06052,0.0396,0.59406,31.27231,3,2
3.6,337.34509,0.0407,0.61056,31.96251,3,2
3.7,344.58408,0.04183,0.62744,32.64838,3,2
3.8,351.68021,0.04294,0.64406,33.32072,3,2
3.9,358.63354,0.04404,0.66062,33.97953,3,2
4,365.30502,0.04515,0.67725,34.61163,3,2
4.1,371.8566,0.04626,0.69394,35.23238,3,2
4.2,378.20334,0.04738,0.71075,35.83371,3,2
4.3,384.24435,0.04849,0.72731,36.40608,3,2
4.4,389.99863,0.04959,0.74387,36.95128,3,2
4.5,395.91711,0.05072,0.76081,37.51204,3,2
4.6,401.35794,0.05183,0.77744,38.02755,3,2
4.7,406.42755,0.05293,0.79394,38.50788,3,2
4.8,411.51755,0.05404,0.81062,38.99014,3,2
4.9,416.45282,0.05516,0.82744,39.45774,3,2
5,421.04419,0.05627,0.84406,39.89276,3,2
5.1,425.45694,0.05737,0.86062,40.31086,3,2
5.2,429.26749,0.05849,0.87731,40.6719,3,2
5.3,433.28915,0.05961,0.89412,41.05294,3,2
5.4,436.569,0.06071,0.91069,41.36369,3,2
5.5,439.82159,0.06181,0.92719,41.67187,3,2
5.6,442.68323,0.06294,0.94406,41.943,3,2
5.7,445.21307,0.06405,0.96075,42.1827,3,2
